,PM2.5,Seq2Seq_LSTM_diff
167,9.036842105263158,4.750993
168,6.415789473684211,3.8965392
169,4.378947368421053,3.914497
170,9.036842105263158,4.022397
171,10.174999999999999,4.0948987
172,4.378947368421053,6.629843
173,9.036842105263158,5.921076
174,10.174999999999999,5.427527
175,7.089473684210528,5.1719894
176,9.036842105263158,4.407573
177,10.174999999999999,4.472858
178,7.089473684210528,4.5870066
179,5.126315789473685,4.688572
180,10.174999999999999,8.373328
181,7.089473684210528,6.674882
182,5.126315789473685,5.991582
183,3.852631578947369,5.765246
184,7.089473684210528,9.019732
185,5.126315789473685,7.415327
186,3.852631578947369,6.7446194
187,4.575000000000001,6.361888
188,5.126315789473685,6.4354877
189,3.852631578947369,5.9493566
190,4.575000000000001,5.5735474
191,6.86842105263158,5.3844495
192,3.852631578947369,5.1348624
193,4.575000000000001,5.0611606
194,6.86842105263158,5.0534506
195,7.884210526315785,5.0364466
196,4.575000000000001,3.9065695
197,6.86842105263158,3.9343452
198,7.884210526315785,4.0241265
199,6.778947368421054,4.050946
200,6.86842105263158,4.990146
201,7.884210526315785,5.0531588
202,6.778947368421054,5.0045033
203,2.3789473684210525,4.9356093
204,7.884210526315785,6.749706
205,6.778947368421054,5.7589293
206,2.3789473684210525,5.2143493
207,2.4199999999999995,4.9955077
208,6.778947368421054,7.1911087
209,2.3789473684210525,6.04259
210,2.4199999999999995,5.516165
211,2.3263157894736834,5.21734
212,2.3789473684210525,6.1774583
213,2.4199999999999995,5.4554815
214,2.3263157894736834,5.029343
215,2.2789473684210524,4.7996626
216,2.4199999999999995,2.0383983
217,2.3263157894736834,1.9192357
218,2.2789473684210524,2.1008213
219,2.810526315789473,2.2258236
220,2.3263157894736834,2.4243138
221,2.2789473684210524,2.5002081
222,2.810526315789473,2.549406
223,2.675,2.5734339
224,2.2789473684210524,2.3529449
225,2.810526315789473,2.4511425
226,2.675,2.4805117
227,2.331578947368421,2.5124686
228,2.810526315789473,2.3293333
229,2.675,2.4241712
230,2.331578947368421,2.459445
231,6.4368421052631595,2.500886
232,2.675,3.0553255
233,2.331578947368421,3.1424513
234,6.4368421052631595,3.1610112
